timestamp,code,name,status,latency_ms,success,error
2026-08-11T16:06:31.868022,SOQ,Bandung 10,409,371.53,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.237Z""}"
2026-08-11T16:06:32.240041,BJM,Semarang Poncol 11,409,10.47,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.249Z""}"
2026-08-11T16:06:32.250724,KDR,Jatinegara 12,409,10.53,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.260Z""}"
2026-08-11T16:06:32.261465,SKA,Pasar Senen 13,409,10.72,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.270Z""}"
2026-08-11T16:06:32.272533,BAB,Jayapura 14,409,9.59,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.281Z""}"
2026-08-11T16:06:32.282322,SAA,Bekasi 15,409,8.47,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.289Z""}"
2026-08-11T16:06:32.290968,BAC,Surabaya Pasar Turi 16,409,8.13,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.297Z""}"
2026-08-11T16:06:32.299282,PKY,Denpasar 17,409,8.77,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.307Z""}"
2026-08-11T16:06:32.308219,BPN,Ketapang 18,201,16.91,True,
2026-08-11T16:06:31.867805,SMD,Surabaya Pasar Turi 7,409,463.9,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.330Z""}"
2026-08-11T16:06:32.325410,SAB,Jatinegara 19,409,13.83,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.338Z""}"
2026-08-11T16:06:32.331949,BAD,Pontianak 20,409,12.58,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.343Z""}"
2026-08-11T16:06:32.339450,DJJ,Mataram 21,409,9.53,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.347Z""}"
2026-08-11T16:06:32.344719,MTR,Balikpapan 22,409,11.05,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.354Z""}"
2026-08-11T16:06:32.349160,SKB,Bekasi 23,409,11.68,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.359Z""}"
2026-08-11T16:06:32.355937,YK,Semarang Poncol 24,409,12.67,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.367Z""}"
2026-08-11T16:06:32.361100,JKT,Surabaya Pasar Turi 25,409,14.74,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.374Z""}"
2026-08-11T16:06:32.368826,SAC,Cirebon 26,409,17.1,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.384Z""}"
2026-08-11T16:06:32.375992,SAD,Mataram 27,409,15.31,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.390Z""}"
2026-08-11T16:06:31.867960,BAA,Manado 9,409,557.2,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.391Z""}"
2026-08-11T16:06:32.386140,PKL,Cirebon 28,409,39.41,False,"{""success"":false,""message"":""Station code already exists"",""error"":{""code"":""STATION_CODE_EXISTS""},""path"":""/api/v1/stations"",""timestamp"":""2026-08-11T09:06:32.394Z""}"
